Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-6471.0,-3094.5,-3376.5,39.77024935086568,43.523866862720915,-973.5,-621.0,-816.5,-683.5,-856.0,-817.0,-669.0,-1034.5
-6776.5,-3961.5,-2815.0,37.9666461997562,41.443429599867926,-924.0,-881.0,-1111.0,-1045.5,-676.0,-578.0,-894.5,-666.5
-7054.0,-3756.5,-3297.5,37.88355192608304,39.070727207925586,-656.5,-1004.0,-1136.5,-959.5,-831.5,-720.0,-682.5,-1063.5
-5757.0,-3111.5,-2645.5,38.567642259597775,38.69415045844184,-952.0,-798.5,-681.5,-679.5,-760.0,-641.0,-579.5,-665.0
-6445.5,-3339.5,-3106.0,38.582953079541525,38.91563119623396,-1176.0,-633.0,-775.5,-755.0,-935.5,-837.5,-572.0,-761.0
-6458.5,-2831.5,-3627.0,39.04144827127457,38.12609507507748,-678.0,-667.0,-765.5,-721.0,-833.5,-1142.0,-919.0,-732.5
-5833.5,-2688.0,-3145.5,37.590462149514096,39.19910257392459,-668.5,-629.5,-649.5,-740.5,-920.5,-810.0,-786.5,-628.5
-6322.5,-3573.5,-2749.0,35.497919681337144,36.50358020994398,-1101.0,-932.0,-934.0,-606.5,-795.5,-707.0,-608.5,-638.0
-5683.5,-2802.5,-2881.0,34.28815748956468,34.72676899168226,-822.0,-605.0,-787.5,-588.0,-853.5,-688.5,-680.0,-659.0
-5719.0,-3153.0,-2566.0,32.95333927472432,34.907620803515115,-887.5,-686.0,-748.5,-831.0,-704.0,-837.5,-519.5,-505.0
-6529.5,-2815.5,-3714.0,31.911317417356702,31.8469207127889,-735.0,-711.5,-622.5,-746.5,-914.0,-953.0,-741.5,-1105.5
-6206.5,-3121.5,-3085.0,32.94869788222843,32.28481223318312,-699.0,-630.5,-905.5,-886.5,-985.5,-751.0,-437.5,-911.0
-6155.0,-3003.5,-3151.5,31.093375412623086,32.13017535209656,-880.5,-781.0,-777.5,-564.5,-1104.5,-694.5,-494.0,-858.5
-5861.0,-2947.5,-2913.5,31.300688330332438,31.051145394643147,-999.5,-526.5,-693.5,-728.0,-774.5,-707.0,-599.5,-832.5
-6761.5,-3034.0,-3727.5,30.214613874753315,31.454595976405674,-682.5,-473.0,-799.0,-1079.5,-1087.0,-947.0,-825.0,-868.5
-5935.0,-3256.5,-2678.5,30.759866587320964,29.934595261679757,-1062.0,-637.5,-787.0,-770.0,-709.5,-851.0,-468.5,-649.5
-6036.0,-3332.5,-2703.5,29.086431251631844,30.470723287264505,-650.0,-895.0,-1140.5,-647.0,-1040.0,-650.0,-386.0,-627.5
