Network_Reward,Group_A_Reward,Group_B_Reward,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-3674.0,-1869.5,-1804.5,-467.375,-467.375,-467.375,-467.375,-451.125,-451.125,-451.125,-451.125
-3497.5,-1878.5,-1619.0,-469.625,-469.625,-469.625,-469.625,-404.75,-404.75,-404.75,-404.75
-3617.0,-1830.5,-1786.5,-457.625,-457.625,-457.625,-457.625,-446.625,-446.625,-446.625,-446.625
-3626.0,-1802.5,-1823.5,-450.625,-450.625,-450.625,-450.625,-455.875,-455.875,-455.875,-455.875
-3787.5,-1862.0,-1925.5,-465.5,-465.5,-465.5,-465.5,-481.375,-481.375,-481.375,-481.375
-3511.0,-1770.5,-1740.5,-442.625,-442.625,-442.625,-442.625,-435.125,-435.125,-435.125,-435.125
-3577.0,-1828.5,-1748.5,-457.125,-457.125,-457.125,-457.125,-437.125,-437.125,-437.125,-437.125
-3664.5,-1817.0,-1847.5,-454.25,-454.25,-454.25,-454.25,-461.875,-461.875,-461.875,-461.875
-3716.5,-1852.0,-1864.5,-463.0,-463.0,-463.0,-463.0,-466.125,-466.125,-466.125,-466.125
-3702.0,-1888.0,-1814.0,-472.0,-472.0,-472.0,-472.0,-453.5,-453.5,-453.5,-453.5
-3723.5,-1900.0,-1823.5,-475.0,-475.0,-475.0,-475.0,-455.875,-455.875,-455.875,-455.875
-3736.5,-1957.5,-1779.0,-489.375,-489.375,-489.375,-489.375,-444.75,-444.75,-444.75,-444.75
-3633.0,-1932.5,-1700.5,-483.125,-483.125,-483.125,-483.125,-425.125,-425.125,-425.125,-425.125
-3662.0,-1833.5,-1828.5,-458.375,-458.375,-458.375,-458.375,-457.125,-457.125,-457.125,-457.125
-3781.5,-2002.5,-1779.0,-500.625,-500.625,-500.625,-500.625,-444.75,-444.75,-444.75,-444.75
-3771.5,-1950.0,-1821.5,-487.5,-487.5,-487.5,-487.5,-455.375,-455.375,-455.375,-455.375
-3830.5,-1916.0,-1914.5,-479.0,-479.0,-479.0,-479.0,-478.625,-478.625,-478.625,-478.625
-3524.5,-1829.0,-1695.5,-457.25,-457.25,-457.25,-457.25,-423.875,-423.875,-423.875,-423.875
-3523.0,-1822.5,-1700.5,-455.625,-455.625,-455.625,-455.625,-425.125,-425.125,-425.125,-425.125
-3628.5,-1781.5,-1847.0,-445.375,-445.375,-445.375,-445.375,-461.75,-461.75,-461.75,-461.75
-3667.5,-1912.5,-1755.0,-478.125,-478.125,-478.125,-478.125,-438.75,-438.75,-438.75,-438.75
-3667.5,-1894.5,-1773.0,-473.625,-473.625,-473.625,-473.625,-443.25,-443.25,-443.25,-443.25
-3745.0,-1835.0,-1910.0,-458.75,-458.75,-458.75,-458.75,-477.5,-477.5,-477.5,-477.5
-3828.0,-1822.0,-2006.0,-455.5,-455.5,-455.5,-455.5,-501.5,-501.5,-501.5,-501.5
