Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-2678.5,-1344.0,-1334.5,4.96436219977008,4.459469259447522,-391.0,-269.0,-374.0,-310.0,-430.5,-372.5,-274.0,-257.5
-2609.5,-1353.0,-1256.5,5.124352576666408,4.279113041361173,-410.0,-248.0,-372.5,-322.5,-404.5,-337.0,-215.5,-299.5
-2559.5,-1293.0,-1266.5,5.015821482737859,4.382229732804828,-421.0,-245.0,-263.0,-364.0,-352.5,-394.0,-215.0,-305.0
-2635.5,-1286.0,-1349.5,4.907408949070507,4.42312086655034,-382.5,-231.5,-350.5,-321.5,-424.5,-350.0,-253.5,-321.5
-2394.5,-1184.5,-1210.0,4.8767076187663605,4.469612514972686,-370.5,-231.0,-284.0,-299.0,-320.0,-321.5,-295.5,-273.0
-2610.5,-1444.0,-1166.5,4.843548782666525,4.3595947974258,-498.5,-311.0,-334.5,-300.0,-373.5,-297.5,-197.0,-298.5
-2734.5,-1218.5,-1516.0,4.917547838555442,4.492680631081263,-389.5,-228.0,-280.5,-320.5,-388.5,-434.5,-282.5,-410.5
-2117.5,-1026.5,-1091.0,4.734207915597492,4.577023197876082,-262.5,-244.5,-284.5,-235.0,-273.5,-303.5,-222.0,-292.0
-2587.0,-1365.5,-1221.5,4.540601428349813,4.4021449330780245,-460.0,-276.0,-264.0,-365.5,-306.5,-296.5,-280.5,-338.0
-2330.5,-1237.5,-1093.0,4.456007911099328,4.49742810163233,-353.0,-266.0,-341.0,-277.5,-254.0,-344.5,-235.0,-259.5
-2608.5,-1274.5,-1334.0,4.53966631061501,4.421241993374295,-370.5,-328.0,-318.5,-257.5,-375.5,-340.5,-270.0,-348.0
-2582.5,-1285.0,-1297.5,4.6133670932716795,4.301811192764176,-395.0,-260.5,-321.0,-308.5,-357.0,-370.0,-248.5,-322.0
-2777.0,-1396.5,-1380.5,4.563392758369446,4.456175955467754,-423.0,-293.5,-377.0,-303.0,-414.5,-313.5,-282.5,-370.0
-2608.5,-1339.0,-1269.5,4.555432015326288,4.438275730609893,-419.0,-247.0,-396.0,-277.0,-283.5,-468.5,-267.5,-250.0
-2540.0,-1313.5,-1226.5,4.4982315666145745,4.5460150907437,-404.5,-250.5,-357.5,-301.0,-330.0,-285.0,-283.0,-328.5
-2068.0,-1060.5,-1007.5,4.467733761005931,4.266154257125325,-296.5,-259.0,-246.0,-259.0,-294.5,-279.5,-237.0,-196.5
-2476.0,-1146.0,-1330.0,4.3160782317320505,4.30850895345211,-316.0,-248.0,-295.5,-286.5,-284.0,-281.0,-366.0,-399.0
-2480.5,-1313.5,-1167.0,4.335465028882027,4.393732076552179,-452.5,-203.0,-294.0,-364.0,-323.0,-274.5,-288.0,-281.5
-2379.5,-1289.5,-1090.0,4.367361725701226,4.222106231583489,-385.5,-229.0,-281.5,-393.5,-326.5,-324.5,-179.5,-259.5
-1933.0,-995.0,-938.0,4.18416392174032,4.374872211615244,-278.0,-205.0,-280.5,-231.5,-283.0,-231.0,-195.0,-229.0
-2459.0,-1379.5,-1079.5,4.042071202728484,3.9732745829555722,-487.0,-285.5,-296.0,-311.0,-423.0,-279.0,-170.0,-207.5
-2288.0,-1164.0,-1124.0,4.19741099178791,4.0717538780636255,-462.5,-194.0,-212.0,-295.5,-291.0,-304.5,-212.5,-316.0
-2424.0,-1222.0,-1202.0,4.074525284767151,3.9589562969075307,-353.0,-202.0,-288.5,-378.5,-412.5,-336.0,-203.5,-250.0
-2292.5,-1243.0,-1049.5,3.992420235276222,4.059855466418796,-331.0,-295.0,-346.0,-271.0,-291.0,-329.5,-156.0,-273.0
-2569.5,-1411.0,-1158.5,4.046219274401665,3.9792627175649007,-421.5,-230.5,-387.0,-372.0,-327.5,-231.5,-292.5,-307.0
-2447.0,-1132.0,-1315.0,4.134426416622268,4.083075317409303,-394.5,-251.5,-277.5,-208.5,-404.0,-358.0,-267.5,-285.5
-2534.5,-1367.5,-1167.0,4.11495741142167,4.083061351709896,-414.0,-337.5,-355.0,-261.0,-439.5,-275.0,-205.0,-247.5
-2408.0,-1198.5,-1209.5,4.108655293451415,4.06750433743,-451.0,-192.0,-259.5,-296.0,-394.5,-319.5,-223.5,-272.0
-2281.5,-1146.5,-1135.0,4.193341727058093,4.002931575973829,-295.0,-222.0,-349.0,-280.5,-301.0,-336.5,-225.5,-272.0
-2654.5,-1421.5,-1233.0,4.153379890322685,4.022383098800977,-445.5,-213.5,-452.0,-310.5,-388.0,-346.5,-229.5,-269.0
-2271.5,-1281.5,-990.0,4.111685233977106,3.9188374747832615,-317.0,-239.5,-358.0,-367.0,-247.5,-303.5,-234.5,-204.5
-2563.0,-1374.5,-1188.5,4.059029563268026,3.9527986877494388,-437.0,-294.0,-289.0,-354.5,-377.5,-303.0,-236.0,-272.0
-2456.0,-1255.5,-1200.5,4.125669844614135,3.9058863722615773,-364.0,-312.0,-263.5,-316.0,-342.0,-319.0,-283.5,-256.0
-2500.0,-1302.0,-1198.0,4.181727340155177,3.9692362195915645,-402.5,-247.5,-394.5,-257.5,-428.5,-326.5,-180.0,-263.0
-2232.5,-1141.5,-1091.0,4.061946251657274,3.852446265353097,-333.0,-190.5,-304.5,-313.5,-277.0,-291.0,-211.5,-311.5
-2534.5,-1352.5,-1182.0,4.062785763872994,3.710199248790741,-407.5,-268.5,-357.5,-319.0,-279.5,-371.0,-205.0,-326.5
-2142.0,-1055.0,-1087.0,4.218379204803043,3.8932075003782907,-371.5,-212.0,-226.5,-245.0,-261.0,-290.5,-254.0,-281.5
-2263.0,-1186.0,-1077.0,4.070684421062469,3.8127854330672157,-320.0,-238.0,-306.0,-322.0,-242.0,-314.5,-248.0,-272.5
-2336.5,-1147.0,-1189.5,4.0293162203497355,3.7754962278736963,-353.0,-206.0,-310.5,-277.5,-339.0,-251.0,-280.5,-319.0
-2157.0,-1144.0,-1013.0,3.850543823838234,3.9133542600605224,-276.5,-286.5,-272.0,-309.0,-270.0,-299.0,-173.0,-271.0
-2318.0,-1176.0,-1142.0,3.9541160848405625,3.725305504931344,-292.5,-212.5,-261.5,-409.5,-367.0,-311.5,-156.5,-307.0
-2255.5,-1164.0,-1091.5,3.8767454978492526,3.740941529141532,-345.0,-196.0,-332.5,-290.5,-251.5,-323.0,-235.5,-281.5
-2665.0,-1313.5,-1351.5,4.089157688617706,3.597308094302813,-373.0,-286.0,-404.0,-250.5,-401.5,-389.5,-275.0,-285.5
-2433.0,-1156.0,-1277.0,3.911285103029675,3.7324925469027623,-318.5,-274.5,-308.0,-255.0,-340.0,-349.0,-278.0,-310.0
-2085.0,-1025.5,-1059.5,3.893305524190267,3.8459666563404933,-287.0,-247.0,-241.5,-250.0,-298.5,-282.0,-205.5,-273.5
-2245.5,-1230.0,-1015.5,3.8297878914409216,3.704591750105222,-370.0,-271.0,-326.5,-262.5,-251.5,-229.5,-258.5,-276.0
-2205.0,-1176.5,-1028.5,3.724453298581971,3.7120583981275557,-349.5,-225.5,-323.5,-278.0,-344.0,-269.0,-207.5,-208.0
-2258.0,-1297.0,-961.0,3.76340447432465,3.772131042016877,-515.5,-204.5,-267.0,-310.0,-286.5,-262.5,-188.5,-223.5
-2101.0,-1073.5,-1027.5,3.868186523516973,3.6064747075239816,-332.0,-189.5,-237.5,-314.5,-279.5,-307.0,-174.0,-267.0
-2239.5,-1235.0,-1004.5,3.9122145877944097,3.57602216899395,-404.5,-167.5,-354.5,-308.5,-254.5,-267.5,-223.0,-259.5
-2182.5,-1179.5,-1003.0,3.683798344598876,3.406617620256212,-388.0,-207.5,-237.0,-347.0,-259.5,-277.5,-226.0,-240.0
-2041.0,-1158.5,-882.5,3.7068950878249276,3.671543099482854,-334.0,-252.0,-260.5,-312.0,-221.5,-249.5,-148.5,-263.0
-2210.0,-1251.0,-959.0,3.5474099997017117,3.3425784375932484,-374.5,-223.5,-321.0,-332.0,-263.5,-224.0,-184.5,-287.0
-2107.5,-1114.0,-993.5,3.632509128583802,3.480966517660353,-346.5,-221.0,-266.5,-280.0,-347.0,-262.0,-198.0,-186.5
-2289.5,-1154.5,-1135.0,3.515941478146447,3.309225379758411,-362.5,-190.0,-279.5,-322.5,-285.5,-350.5,-184.0,-315.0
-2178.5,-1113.5,-1065.0,3.5116469618346957,3.296615994970004,-363.0,-157.0,-297.5,-296.0,-204.0,-330.5,-267.0,-263.5
-2212.0,-1211.0,-1001.0,3.5377546505795583,3.4058979776170517,-319.0,-342.0,-260.0,-290.0,-308.5,-259.5,-170.5,-262.5
-2248.5,-1247.5,-1001.0,3.48378848599063,3.2382171793116465,-374.0,-240.0,-287.0,-346.5,-263.5,-258.0,-199.0,-280.5
